Timestamp: 1727792096495, Queue size: 0
Timestamp: 1727792100785, Queue size: 1
Timestamp: 1727792100904, Queue size: 2
Timestamp: 1727792100914, Queue size: 3
Timestamp: 1727792100941, Queue size: 4
Timestamp: 1727792100977, Queue size: 5
Timestamp: 1727792100992, Queue size: 6
Timestamp: 1727792101000, Queue size: 7
Timestamp: 1727792101017, Queue size: 8
Timestamp: 1727792101028, Queue size: 9
Timestamp: 1727792101300, Queue size: 10
Timestamp: 1727792101525, Queue size: 9
Timestamp: 1727792101537, Queue size: 10
Timestamp: 1727792101624, Queue size: 11
Timestamp: 1727792101632, Queue size: 12
Timestamp: 1727792101785, Queue size: 11
Timestamp: 1727792102120, Queue size: 12
Timestamp: 1727792102146, Queue size: 13
Timestamp: 1727792102158, Queue size: 14
Timestamp: 1727792102170, Queue size: 15
Timestamp: 1727792102357, Queue size: 14
Timestamp: 1727792102368, Queue size: 15
Timestamp: 1727792102382, Queue size: 16
Timestamp: 1727792102393, Queue size: 17
Timestamp: 1727792102406, Queue size: 18
Timestamp: 1727792102418, Queue size: 19
Timestamp: 1727792102431, Queue size: 20
Timestamp: 1727792102774, Queue size: 17
Timestamp: 1727792102857, Queue size: 18
Timestamp: 1727792102866, Queue size: 19
Timestamp: 1727792102879, Queue size: 20
Timestamp: 1727792102968, Queue size: 21
Timestamp: 1727792102974, Queue size: 22
Timestamp: 1727792103018, Queue size: 23
Timestamp: 1727792103029, Queue size: 24
Timestamp: 1727792103272, Queue size: 22
Timestamp: 1727792103286, Queue size: 23
Timestamp: 1727792103767, Queue size: 19
Timestamp: 1727792103778, Queue size: 20
Timestamp: 1727792103778, Queue size: 21
Timestamp: 1727792103796, Queue size: 22
Timestamp: 1727792104199, Queue size: 20
Timestamp: 1727792104487, Queue size: 19
Timestamp: 1727792105005, Queue size: 16
Timestamp: 1727792105367, Queue size: 13
Timestamp: 1727792105422, Queue size: 14
Timestamp: 1727792105444, Queue size: 15
Timestamp: 1727792105445, Queue size: 16
Timestamp: 1727792105452, Queue size: 17
Timestamp: 1727792105800, Queue size: 14
Timestamp: 1727792105953, Queue size: 15
Timestamp: 1727792105977, Queue size: 16
Timestamp: 1727792105980, Queue size: 17
Timestamp: 1727792106033, Queue size: 18
Timestamp: 1727792106332, Queue size: 16
Timestamp: 1727792106667, Queue size: 13
Timestamp: 1727792106842, Queue size: 12
Timestamp: 1727792106844, Queue size: 13
Timestamp: 1727792107191, Queue size: 11
Timestamp: 1727792107447, Queue size: 9
Timestamp: 1727792107711, Queue size: 8
Timestamp: 1727792108232, Queue size: 3
Timestamp: 1727792108408, Queue size: 4
Timestamp: 1727792108411, Queue size: 5
Timestamp: 1727792108413, Queue size: 6
Timestamp: 1727792108414, Queue size: 7
Timestamp: 1727792108415, Queue size: 8
Timestamp: 1727792108590, Queue size: 9
Timestamp: 1727792108680, Queue size: 10
Timestamp: 1727792109121, Queue size: 8
Timestamp: 1727792109652, Queue size: 3
Timestamp: 1727792109841, Queue size: 2
Timestamp: 1727792109925, Queue size: 3
Timestamp: 1727792110019, Queue size: 4
Timestamp: 1727792110289, Queue size: 2
Timestamp: 1727792110292, Queue size: 3
Timestamp: 1727792110294, Queue size: 4
Timestamp: 1727792110735, Queue size: 3
Timestamp: 1727792111176, Queue size: 1
Timestamp: 1727792111617, Queue size: 2
Timestamp: 1727792111702, Queue size: 3
Timestamp: 1727792111702, Queue size: 4
Timestamp: 1727792111788, Queue size: 5
Timestamp: 1727792112227, Queue size: 3
Timestamp: 1727792112233, Queue size: 4
Timestamp: 1727792112412, Queue size: 3
Timestamp: 1727792112581, Queue size: 2
Timestamp: 1727792112583, Queue size: 3
Timestamp: 1727792112848, Queue size: 1
Timestamp: 1727792112850, Queue size: 2
Timestamp: 1727792112936, Queue size: 3
Timestamp: 1727792112937, Queue size: 5
Timestamp: 1727792112937, Queue size: 6
Timestamp: 1727792112936, Queue size: 4
Timestamp: 1727792112938, Queue size: 7
Timestamp: 1727792112940, Queue size: 8
Timestamp: 1727792113116, Queue size: 9
Timestamp: 1727792113473, Queue size: 9
Timestamp: 1727792113473, Queue size: 8
Timestamp: 1727792114090, Queue size: 4
Timestamp: 1727792114091, Queue size: 5
Timestamp: 1727792114091, Queue size: 6
Timestamp: 1727792114189, Queue size: 7
Timestamp: 1727792114189, Queue size: 8
Timestamp: 1727792114544, Queue size: 6
Timestamp: 1727792114544, Queue size: 5
Timestamp: 1727792114544, Queue size: 7
Timestamp: 1727792114632, Queue size: 8
Timestamp: 1727792114632, Queue size: 9
Timestamp: 1727792114637, Queue size: 10
Timestamp: 1727792114727, Queue size: 11
Timestamp: 1727792114812, Queue size: 12
Timestamp: 1727792114813, Queue size: 13
Timestamp: 1727792114813, Queue size: 14
Timestamp: 1727792114814, Queue size: 15
Timestamp: 1727792115077, Queue size: 13
Timestamp: 1727792115249, Queue size: 12
Timestamp: 1727792115516, Queue size: 9
Timestamp: 1727792115601, Queue size: 10
Timestamp: 1727792115773, Queue size: 9
Timestamp: 1727792115860, Queue size: 10
Timestamp: 1727792116301, Queue size: 7
Timestamp: 1727792116386, Queue size: 8
Timestamp: 1727792116478, Queue size: 7
Timestamp: 1727792117003, Queue size: 3
Timestamp: 1727792117003, Queue size: 4
Timestamp: 1727792117005, Queue size: 5
Timestamp: 1727792117177, Queue size: 6
Timestamp: 1727792117178, Queue size: 7
Timestamp: 1727792117181, Queue size: 8
Timestamp: 1727792117183, Queue size: 9
Timestamp: 1727792117511, Queue size: 8
Timestamp: 1727792117608, Queue size: 10
Timestamp: 1727792117608, Queue size: 9
Timestamp: 1727792117870, Queue size: 8
Timestamp: 1727792118404, Queue size: 5
Timestamp: 1727792118405, Queue size: 6
Timestamp: 1727792118405, Queue size: 7
Timestamp: 1727792118409, Queue size: 8
Timestamp: 1727792118496, Queue size: 9
Timestamp: 1727792118685, Queue size: 8
Timestamp: 1727792118945, Queue size: 7
Timestamp: 1727792119035, Queue size: 8
Timestamp: 1727792120274, Queue size: 1
Timestamp: 1727792120636, Queue size: 2
Timestamp: 1727792120896, Queue size: 1
Timestamp: 1727792121333, Queue size: 2
Timestamp: 1727792121333, Queue size: 3
Timestamp: 1727792121511, Queue size: 4
Timestamp: 1727792121778, Queue size: 3
Timestamp: 1727792122130, Queue size: 2
Timestamp: 1727792122223, Queue size: 3
Timestamp: 1727792122231, Queue size: 4
Timestamp: 1727792122585, Queue size: 3
Timestamp: 1727792122763, Queue size: 2
Timestamp: 1727792122766, Queue size: 3
Timestamp: 1727792122855, Queue size: 4
Timestamp: 1727792122856, Queue size: 5
Timestamp: 1727792123207, Queue size: 6
Timestamp: 1727792123391, Queue size: 5
Timestamp: 1727792123480, Queue size: 4
Timestamp: 1727792123480, Queue size: 5
Timestamp: 1727792123562, Queue size: 6
Timestamp: 1727792123563, Queue size: 7
Timestamp: 1727792123738, Queue size: 6
Timestamp: 1727792123739, Queue size: 7
Timestamp: 1727792123829, Queue size: 8
Timestamp: 1727792123831, Queue size: 9
Timestamp: 1727792124190, Queue size: 7
Timestamp: 1727792124276, Queue size: 8
Timestamp: 1727792124544, Queue size: 7
Timestamp: 1727792124545, Queue size: 8
Timestamp: 1727792124545, Queue size: 9
Timestamp: 1727792124809, Queue size: 7
Timestamp: 1727792124901, Queue size: 8
Timestamp: 1727792124902, Queue size: 9
Timestamp: 1727792124902, Queue size: 10
Timestamp: 1727792124902, Queue size: 11
Timestamp: 1727792124902, Queue size: 12
Timestamp: 1727792125178, Queue size: 11
Timestamp: 1727792125260, Queue size: 12
Timestamp: 1727792125357, Queue size: 13
Timestamp: 1727792125445, Queue size: 14
Timestamp: 1727792125447, Queue size: 15
Timestamp: 1727792125447, Queue size: 16
Timestamp: 1727792126257, Queue size: 11
Timestamp: 1727792127055, Queue size: 3
Timestamp: 1727792127146, Queue size: 4
Timestamp: 1727792127236, Queue size: 3
Timestamp: 1727792127329, Queue size: 4
Timestamp: 1727792127410, Queue size: 5
Timestamp: 1727792127410, Queue size: 6
Timestamp: 1727792127412, Queue size: 7
Timestamp: 1727792127412, Queue size: 8
Timestamp: 1727792127495, Queue size: 9
Timestamp: 1727792127496, Queue size: 10
Timestamp: 1727792127496, Queue size: 11
Timestamp: 1727792127590, Queue size: 12
Timestamp: 1727792127769, Queue size: 12
Timestamp: 1727792127769, Queue size: 11
Timestamp: 1727792127769, Queue size: 13
Timestamp: 1727792127862, Queue size: 12
Timestamp: 1727792127948, Queue size: 13
Timestamp: 1727792128041, Queue size: 12
Timestamp: 1727792128674, Queue size: 10
Timestamp: 1727792129115, Queue size: 6
Timestamp: 1727792129118, Queue size: 7
Timestamp: 1727792129119, Queue size: 8
Timestamp: 1727792129124, Queue size: 9
Timestamp: 1727792129199, Queue size: 10
Timestamp: 1727792129462, Queue size: 8
Timestamp: 1727792129644, Queue size: 7
Timestamp: 1727792129647, Queue size: 8
Timestamp: 1727792129650, Queue size: 9
Timestamp: 1727792129824, Queue size: 8
Timestamp: 1727792129824, Queue size: 9
Timestamp: 1727792129829, Queue size: 10
Timestamp: 1727792130085, Queue size: 9
Timestamp: 1727792130174, Queue size: 10
Timestamp: 1727792130262, Queue size: 11
Timestamp: 1727792130615, Queue size: 8
Timestamp: 1727792130620, Queue size: 9
Timestamp: 1727792130980, Queue size: 6
Timestamp: 1727792130981, Queue size: 7
Timestamp: 1727792131326, Queue size: 8
Timestamp: 1727792131415, Queue size: 9
Timestamp: 1727792131416, Queue size: 10
Timestamp: 1727792131416, Queue size: 11
Timestamp: 1727792131857, Queue size: 7
Timestamp: 1727792131942, Queue size: 8
Timestamp: 1727792132298, Queue size: 6
Timestamp: 1727792132558, Queue size: 5
Timestamp: 1727792132730, Queue size: 4
Timestamp: 1727792132730, Queue size: 3
Timestamp: 1727792132730, Queue size: 5
Timestamp: 1727792132732, Queue size: 6
Timestamp: 1727792132818, Queue size: 7
Timestamp: 1727792132905, Queue size: 8
Timestamp: 1727792132906, Queue size: 9
Timestamp: 1727792132906, Queue size: 10
Timestamp: 1727792132909, Queue size: 11
Timestamp: 1727792133078, Queue size: 10
Timestamp: 1727792133167, Queue size: 11
Timestamp: 1727792133168, Queue size: 12
Timestamp: 1727792133169, Queue size: 13
Timestamp: 1727792133346, Queue size: 12
Timestamp: 1727792133347, Queue size: 13
Timestamp: 1727792133524, Queue size: 14
Timestamp: 1727792133525, Queue size: 15
Timestamp: 1727792133871, Queue size: 12
Timestamp: 1727792134049, Queue size: 10
Timestamp: 1727792134760, Queue size: 3
Timestamp: 1727792134930, Queue size: 4
Timestamp: 1727792134934, Queue size: 5
Timestamp: 1727792135026, Queue size: 6
Timestamp: 1727792135554, Queue size: 2
Timestamp: 1727792135555, Queue size: 3
Timestamp: 1727792135642, Queue size: 4
Timestamp: 1727792135644, Queue size: 5
Timestamp: 1727792135731, Queue size: 6
Timestamp: 1727792135731, Queue size: 7
Timestamp: 1727792135916, Queue size: 6
Timestamp: 1727792136005, Queue size: 7
Timestamp: 1727792136005, Queue size: 8
Timestamp: 1727792136172, Queue size: 7
Timestamp: 1727792136175, Queue size: 8
Timestamp: 1727792136175, Queue size: 9
Timestamp: 1727792136176, Queue size: 10
Timestamp: 1727792136346, Queue size: 9
Timestamp: 1727792136346, Queue size: 10
Timestamp: 1727792136348, Queue size: 11
Timestamp: 1727792136350, Queue size: 12
Timestamp: 1727792136611, Queue size: 13
Timestamp: 1727792136960, Queue size: 10
Timestamp: 1727792136962, Queue size: 11
Timestamp: 1727792137053, Queue size: 12
Timestamp: 1727792137143, Queue size: 13
Timestamp: 1727792137223, Queue size: 14
Timestamp: 1727792137224, Queue size: 15
Timestamp: 1727792137579, Queue size: 13
Timestamp: 1727792137829, Queue size: 12
Timestamp: 1727792137833, Queue size: 13
Timestamp: 1727792137839, Queue size: 14
Timestamp: 1727792137848, Queue size: 15
Timestamp: 1727792137994, Queue size: 14
Timestamp: 1727792138088, Queue size: 15
Timestamp: 1727792138433, Queue size: 12
Timestamp: 1727792138531, Queue size: 13
Timestamp: 1727792138612, Queue size: 14
Timestamp: 1727792138622, Queue size: 15
Timestamp: 1727792138693, Queue size: 16
Timestamp: 1727792138700, Queue size: 17
Timestamp: 1727792138702, Queue size: 18
Timestamp: 1727792139224, Queue size: 15
Timestamp: 1727792139227, Queue size: 16
Timestamp: 1727792139404, Queue size: 14
Timestamp: 1727792139487, Queue size: 15
Timestamp: 1727792139490, Queue size: 16
Timestamp: 1727792139491, Queue size: 17
Timestamp: 1727792139491, Queue size: 18
Timestamp: 1727792139580, Queue size: 19
Timestamp: 1727792139581, Queue size: 20
Timestamp: 1727792139930, Queue size: 18
Timestamp: 1727792140195, Queue size: 16
Timestamp: 1727792140549, Queue size: 12
Timestamp: 1727792140641, Queue size: 13
Timestamp: 1727792140723, Queue size: 14
Timestamp: 1727792140725, Queue size: 15
Timestamp: 1727792140811, Queue size: 16
Timestamp: 1727792140811, Queue size: 17
Timestamp: 1727792141257, Queue size: 14
Timestamp: 1727792141257, Queue size: 15
Timestamp: 1727792141342, Queue size: 16
Timestamp: 1727792141345, Queue size: 17
Timestamp: 1727792141345, Queue size: 18
Timestamp: 1727792141348, Queue size: 19
Timestamp: 1727792141435, Queue size: 20
Timestamp: 1727792141784, Queue size: 18
Timestamp: 1727792142046, Queue size: 16
Timestamp: 1727792142046, Queue size: 17
Timestamp: 1727792142397, Queue size: 13
Timestamp: 1727792142659, Queue size: 11
Timestamp: 1727792142660, Queue size: 12
Timestamp: 1727792142662, Queue size: 13
Timestamp: 1727792143008, Queue size: 12
Timestamp: 1727792143008, Queue size: 11
Timestamp: 1727792143011, Queue size: 13
Timestamp: 1727792143017, Queue size: 14
Timestamp: 1727792143095, Queue size: 15
Timestamp: 1727792143273, Queue size: 14
Timestamp: 1727792143625, Queue size: 11
Timestamp: 1727792143629, Queue size: 12
Timestamp: 1727792143795, Queue size: 11
Timestamp: 1727792143896, Queue size: 10
Timestamp: 1727792143974, Queue size: 11
Timestamp: 1727792143978, Queue size: 12
Timestamp: 1727792143986, Queue size: 13
Timestamp: 1727792144254, Queue size: 12
Timestamp: 1727792144963, Queue size: 4
Timestamp: 1727792145130, Queue size: 5
Timestamp: 1727792145310, Queue size: 3
Timestamp: 1727792145311, Queue size: 5
Timestamp: 1727792145311, Queue size: 4
Timestamp: 1727792145322, Queue size: 6
Timestamp: 1727792145392, Queue size: 7
Timestamp: 1727792145397, Queue size: 8
Timestamp: 1727792145398, Queue size: 9
Timestamp: 1727792145488, Queue size: 10
Timestamp: 1727792145835, Queue size: 9
Timestamp: 1727792145835, Queue size: 10
Timestamp: 1727792145922, Queue size: 12
Timestamp: 1727792145922, Queue size: 13
Timestamp: 1727792146012, Queue size: 13
Timestamp: 1727792146012, Queue size: 12
Timestamp: 1727792146020, Queue size: 14
Timestamp: 1727792146274, Queue size: 15
Timestamp: 1727792146275, Queue size: 16
Timestamp: 1727792146363, Queue size: 17
Timestamp: 1727792146534, Queue size: 18
Timestamp: 1727792146539, Queue size: 19
Timestamp: 1727792146540, Queue size: 20
Timestamp: 1727792146627, Queue size: 21
Timestamp: 1727792146630, Queue size: 22
Timestamp: 1727792146891, Queue size: 23
Timestamp: 1727792146978, Queue size: 24
Timestamp: 1727792147937, Queue size: 15
Timestamp: 1727792147940, Queue size: 16
Timestamp: 1727792148119, Queue size: 17
Timestamp: 1727792148302, Queue size: 16
Timestamp: 1727792148378, Queue size: 18
Timestamp: 1727792148378, Queue size: 17
Timestamp: 1727792148468, Queue size: 19
Timestamp: 1727792148469, Queue size: 20
Timestamp: 1727792149076, Queue size: 18
Timestamp: 1727792149080, Queue size: 19
Timestamp: 1727792149429, Queue size: 16
Timestamp: 1727792149435, Queue size: 17
Timestamp: 1727792149695, Queue size: 14
Timestamp: 1727792149777, Queue size: 15
Timestamp: 1727792149777, Queue size: 16
Timestamp: 1727792149952, Queue size: 15
Timestamp: 1727792150123, Queue size: 14
Timestamp: 1727792150473, Queue size: 11
Timestamp: 1727792150817, Queue size: 8
Timestamp: 1727792151078, Queue size: 7
Timestamp: 1727792151092, Queue size: 8
Timestamp: 1727792151092, Queue size: 9
Timestamp: 1727792151093, Queue size: 10
Timestamp: 1727792151254, Queue size: 11
Timestamp: 1727792151264, Queue size: 12
Timestamp: 1727792151264, Queue size: 13
Timestamp: 1727792151264, Queue size: 14
Timestamp: 1727792151266, Queue size: 15
Timestamp: 1727792151430, Queue size: 16
Timestamp: 1727792151435, Queue size: 17
Timestamp: 1727792151437, Queue size: 18
Timestamp: 1727792151439, Queue size: 19
Timestamp: 1727792151443, Queue size: 20
Timestamp: 1727792151615, Queue size: 18
Timestamp: 1727792151700, Queue size: 19
Timestamp: 1727792152132, Queue size: 16
Timestamp: 1727792152488, Queue size: 13
Timestamp: 1727792152664, Queue size: 12
Timestamp: 1727792152666, Queue size: 13
Timestamp: 1727792152936, Queue size: 14
Timestamp: 1727792153189, Queue size: 12
Timestamp: 1727792153191, Queue size: 13
Timestamp: 1727792153192, Queue size: 14
Timestamp: 1727792153193, Queue size: 15
Timestamp: 1727792153367, Queue size: 14
Timestamp: 1727792153369, Queue size: 15
Timestamp: 1727792153371, Queue size: 16
Timestamp: 1727792153809, Queue size: 12
Timestamp: 1727792153810, Queue size: 13
Timestamp: 1727792153811, Queue size: 14
Timestamp: 1727792153897, Queue size: 15
Timestamp: 1727792154075, Queue size: 16
Timestamp: 1727792154076, Queue size: 17
Timestamp: 1727792154076, Queue size: 18
Timestamp: 1727792154246, Queue size: 17
Timestamp: 1727792154325, Queue size: 18
Timestamp: 1727792154426, Queue size: 17
Timestamp: 1727792154597, Queue size: 18
Timestamp: 1727792154598, Queue size: 19
Timestamp: 1727792154945, Queue size: 16
Timestamp: 1727792155037, Queue size: 15
Timestamp: 1727792155120, Queue size: 16
Timestamp: 1727792155385, Queue size: 17
Timestamp: 1727792155651, Queue size: 16
