Timestamp: 1727792096494, Queue size: 0
Timestamp: 1727792100818, Queue size: 1
Timestamp: 1727792101067, Queue size: 2
Timestamp: 1727792101104, Queue size: 3
Timestamp: 1727792101115, Queue size: 4
Timestamp: 1727792101217, Queue size: 5
Timestamp: 1727792101226, Queue size: 6
Timestamp: 1727792101238, Queue size: 7
Timestamp: 1727792101249, Queue size: 8
Timestamp: 1727792101511, Queue size: 6
Timestamp: 1727792101910, Queue size: 3
Timestamp: 1727792101918, Queue size: 4
Timestamp: 1727792101930, Queue size: 5
Timestamp: 1727792101946, Queue size: 6
Timestamp: 1727792102033, Queue size: 7
Timestamp: 1727792102055, Queue size: 8
Timestamp: 1727792102305, Queue size: 6
Timestamp: 1727792102342, Queue size: 7
Timestamp: 1727792102589, Queue size: 6
Timestamp: 1727792102604, Queue size: 7
Timestamp: 1727792102794, Queue size: 8
Timestamp: 1727792103016, Queue size: 6
Timestamp: 1727792103030, Queue size: 7
Timestamp: 1727792103077, Queue size: 8
Timestamp: 1727792103094, Queue size: 10
Timestamp: 1727792103094, Queue size: 9
Timestamp: 1727792103114, Queue size: 11
Timestamp: 1727792103126, Queue size: 12
Timestamp: 1727792103144, Queue size: 13
Timestamp: 1727792103153, Queue size: 14
Timestamp: 1727792103209, Queue size: 15
Timestamp: 1727792103226, Queue size: 16
Timestamp: 1727792103269, Queue size: 17
Timestamp: 1727792103272, Queue size: 18
Timestamp: 1727792103359, Queue size: 19
Timestamp: 1727792103856, Queue size: 14
Timestamp: 1727792103863, Queue size: 15
Timestamp: 1727792104038, Queue size: 16
Timestamp: 1727792104060, Queue size: 17
Timestamp: 1727792104148, Queue size: 16
Timestamp: 1727792104234, Queue size: 17
Timestamp: 1727792104376, Queue size: 16
Timestamp: 1727792104900, Queue size: 12
Timestamp: 1727792104914, Queue size: 13
Timestamp: 1727792105078, Queue size: 14
Timestamp: 1727792105267, Queue size: 16
Timestamp: 1727792105278, Queue size: 17
Timestamp: 1727792105341, Queue size: 18
Timestamp: 1727792105355, Queue size: 19
Timestamp: 1727792105686, Queue size: 16
Timestamp: 1727792105695, Queue size: 17
Timestamp: 1727792105890, Queue size: 16
Timestamp: 1727792106067, Queue size: 16
Timestamp: 1727792106067, Queue size: 15
Timestamp: 1727792106133, Queue size: 17
Timestamp: 1727792106152, Queue size: 18
Timestamp: 1727792106415, Queue size: 17
Timestamp: 1727792106589, Queue size: 16
Timestamp: 1727792106590, Queue size: 17
Timestamp: 1727792106658, Queue size: 18
Timestamp: 1727792106662, Queue size: 19
Timestamp: 1727792107020, Queue size: 15
Timestamp: 1727792107089, Queue size: 16
Timestamp: 1727792107102, Queue size: 17
Timestamp: 1727792107105, Queue size: 18
Timestamp: 1727792107178, Queue size: 19
Timestamp: 1727792107190, Queue size: 20
Timestamp: 1727792107893, Queue size: 13
Timestamp: 1727792107982, Queue size: 14
Timestamp: 1727792108324, Queue size: 13
Timestamp: 1727792108588, Queue size: 11
Timestamp: 1727792108850, Queue size: 9
Timestamp: 1727792108853, Queue size: 10
Timestamp: 1727792108943, Queue size: 11
Timestamp: 1727792108944, Queue size: 13
Timestamp: 1727792108944, Queue size: 12
Timestamp: 1727792108944, Queue size: 14
Timestamp: 1727792109121, Queue size: 13
Timestamp: 1727792109123, Queue size: 15
Timestamp: 1727792109123, Queue size: 14
Timestamp: 1727792109210, Queue size: 14
