Timestamp: 1727792096547, Queue size: 0
Timestamp: 1727792100955, Queue size: 1
Timestamp: 1727792101325, Queue size: 2
Timestamp: 1727792101339, Queue size: 3
Timestamp: 1727792101350, Queue size: 4
Timestamp: 1727792101658, Queue size: 2
Timestamp: 1727792101720, Queue size: 3
Timestamp: 1727792101735, Queue size: 4
Timestamp: 1727792101885, Queue size: 3
Timestamp: 1727792102021, Queue size: 4
Timestamp: 1727792102231, Queue size: 5
Timestamp: 1727792102238, Queue size: 6
Timestamp: 1727792102255, Queue size: 7
Timestamp: 1727792102688, Queue size: 3
Timestamp: 1727792102904, Queue size: 1
Timestamp: 1727792102917, Queue size: 2
Timestamp: 1727792102955, Queue size: 3
Timestamp: 1727792103151, Queue size: 2
Timestamp: 1727792103410, Queue size: 3
Timestamp: 1727792103421, Queue size: 4
Timestamp: 1727792103448, Queue size: 5
Timestamp: 1727792103498, Queue size: 6
Timestamp: 1727792103854, Queue size: 5
Timestamp: 1727792104113, Queue size: 3
Timestamp: 1727792104115, Queue size: 4
Timestamp: 1727792104125, Queue size: 5
Timestamp: 1727792104125, Queue size: 6
Timestamp: 1727792104454, Queue size: 3
Timestamp: 1727792104464, Queue size: 4
Timestamp: 1727792104484, Queue size: 5
Timestamp: 1727792104755, Queue size: 2
Timestamp: 1727792104808, Queue size: 3
Timestamp: 1727792104808, Queue size: 4
Timestamp: 1727792104827, Queue size: 5
Timestamp: 1727792105092, Queue size: 3
Timestamp: 1727792105275, Queue size: 1
Timestamp: 1727792105336, Queue size: 2
Timestamp: 1727792105519, Queue size: 1
Timestamp: 1727792105536, Queue size: 2
Timestamp: 1727792105606, Queue size: 3
Timestamp: 1727792105626, Queue size: 4
Timestamp: 1727792105626, Queue size: 5
Timestamp: 1727792105627, Queue size: 6
Timestamp: 1727792105890, Queue size: 5
Timestamp: 1727792106240, Queue size: 2
Timestamp: 1727792106240, Queue size: 3
Timestamp: 1727792106332, Queue size: 4
Timestamp: 1727792106394, Queue size: 5
Timestamp: 1727792106503, Queue size: 6
Timestamp: 1727792106588, Queue size: 7
Timestamp: 1727792106851, Queue size: 4
Timestamp: 1727792106915, Queue size: 5
Timestamp: 1727792106916, Queue size: 6
Timestamp: 1727792107266, Queue size: 4
Timestamp: 1727792107271, Queue size: 5
Timestamp: 1727792107277, Queue size: 6
Timestamp: 1727792107535, Queue size: 7
Timestamp: 1727792107621, Queue size: 8
Timestamp: 1727792107624, Queue size: 9
Timestamp: 1727792107625, Queue size: 10
Timestamp: 1727792107626, Queue size: 11
Timestamp: 1727792107800, Queue size: 10
Timestamp: 1727792107805, Queue size: 11
Timestamp: 1727792107893, Queue size: 12
Timestamp: 1727792108497, Queue size: 6
Timestamp: 1727792108497, Queue size: 7
Timestamp: 1727792108766, Queue size: 7
Timestamp: 1727792108766, Queue size: 6
Timestamp: 1727792108766, Queue size: 8
Timestamp: 1727792109122, Queue size: 9
Timestamp: 1727792109122, Queue size: 10
Timestamp: 1727792109212, Queue size: 9
Timestamp: 1727792109656, Queue size: 7
Timestamp: 1727792109841, Queue size: 8
Timestamp: 1727792109841, Queue size: 9
Timestamp: 1727792109925, Queue size: 10
Timestamp: 1727792110019, Queue size: 11
Timestamp: 1727792110019, Queue size: 12
Timestamp: 1727792110114, Queue size: 11
Timestamp: 1727792110115, Queue size: 12
Timestamp: 1727792110202, Queue size: 13
Timestamp: 1727792110205, Queue size: 14
Timestamp: 1727792110382, Queue size: 13
Timestamp: 1727792110558, Queue size: 12
Timestamp: 1727792110650, Queue size: 11
Timestamp: 1727792110653, Queue size: 12
Timestamp: 1727792110653, Queue size: 13
Timestamp: 1727792110653, Queue size: 14
Timestamp: 1727792110655, Queue size: 15
Timestamp: 1727792110655, Queue size: 16
Timestamp: 1727792110905, Queue size: 15
Timestamp: 1727792110906, Queue size: 16
Timestamp: 1727792110991, Queue size: 17
Timestamp: 1727792111265, Queue size: 16
Timestamp: 1727792111265, Queue size: 15
Timestamp: 1727792111445, Queue size: 14
Timestamp: 1727792111527, Queue size: 15
Timestamp: 1727792111790, Queue size: 14
Timestamp: 1727792111876, Queue size: 15
Timestamp: 1727792111878, Queue size: 16
Timestamp: 1727792111966, Queue size: 17
Timestamp: 1727792112058, Queue size: 18
Timestamp: 1727792112059, Queue size: 19
Timestamp: 1727792112060, Queue size: 20
Timestamp: 1727792112496, Queue size: 17
Timestamp: 1727792112496, Queue size: 18
Timestamp: 1727792112676, Queue size: 19
Timestamp: 1727792112756, Queue size: 20
Timestamp: 1727792112758, Queue size: 21
Timestamp: 1727792112760, Queue size: 22
Timestamp: 1727792113383, Queue size: 16
Timestamp: 1727792113912, Queue size: 12
Timestamp: 1727792113917, Queue size: 13
Timestamp: 1727792114089, Queue size: 14
Timestamp: 1727792114091, Queue size: 16
Timestamp: 1727792114091, Queue size: 15
Timestamp: 1727792114189, Queue size: 17
Timestamp: 1727792114273, Queue size: 18
Timestamp: 1727792114274, Queue size: 19
Timestamp: 1727792114274, Queue size: 20
